spotify:artist:17lzZA2AlOHwCwFALHttmp	2 Chainz
spotify:artist:1ZwdS5xdxEREPySFridCfh	2Pac
spotify:artist:0FWzNDaEu9jdgcYTbcOa4F	3OH!3
spotify:artist:3q7HBObVc0L8jNeTe5Gofh	50 Cent
spotify:artist:4DFhHyjvGYa9wxdHUjtDkc	A Perfect Circle
spotify:artist:7hOGhpa8RMSuDOWntGIAJt	A R I Z O N A
spotify:artist:2t2XKfWKLXpFIjFwy1K8wx	Aaron Lewis
spotify:artist:0LcJLqbBmaGUft1e9Mm8HV	ABBA
spotify:artist:711MCceyCBcFnzjGY4Q7Un	AC/DC
spotify:artist:266SmBZTt4zRzaKEANWbfQ	Adina Howard
spotify:artist:31CtLHmSL7Oa7TPU9YyBEu	Aeroplane
spotify:artist:6ogn9necmbUdCppmNnGOdi	Alanis Morissette
spotify:artist:2tbvDi9eXf9XXp06LupkED	Alice Deejay
spotify:artist:64tNsm6TnZe2zpcMVMOoHL	Alice In Chains
spotify:artist:3DiDSECUqqY1AuBP8qtaIa	Alicia Keys
spotify:artist:2DORQjKJVYZMx9uu82UGtT	Amy Shark
spotify:artist:2siHvYaxjaW5rKVRiIrMYH	Anastacia
spotify:artist:7Ln80lUS6He07XvHI8qqHH	Arctic Monkeys
spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5	Armin van Buuren
spotify:artist:5rkVyNGXEgeUqKkB5ccK83	Ashanti
spotify:artist:1WgXqy2Dd70QQOU7Ay074N	AURORA
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6	Avicii
spotify:artist:5ndkK3dpZLKtBklKjxNQwT	B.o.B
spotify:artist:0g7YfJuAQnXWMiFny5elRH	Baeza
spotify:artist:2xe8IXgCTpwHE3eA9hTs4n	BANKS
spotify:artist:42t4hWS8aGwWNQhutNCl9c	Banned Vinyl
spotify:artist:2VL0G8nTevMkOCc1cPWu5i	Beats By AI
spotify:artist:64M6ah0SkkRsnPGtGiRAbb	Bebe Rexha
spotify:artist:5an4oj0S5bqONhXPpK4Myu	Becky Shaheen
spotify:artist:58FAQGIDRMXK5AsxJu9YNp	Betsy
spotify:artist:6vWDO969PvNqNYHIOW5v0m	Beyoncé
spotify:artist:7mnAzEmgquhrVtGob81SmO	Big Shaq
spotify:artist:272ygo5fv9cYsiCLcV0HV2	Bill Conti
